date,high,low,open,close,volume,quoteVolume,weightedAverage
2016-12-26 16:00:00,910.3645822,903.7501513,905.094,904.7615702,126157.3408,139.0533319,907.2586684
2016-12-26 20:00:00,906.9806959,900.09,906.9806959,902,53019.9668,58.71794667,902.9601648
2016-12-27 00:00:00,906.0054668,899.2878985,904.35,904.49,41031.06097,45.41832434,903.4032314
2016-12-27 04:00:00,914.555555,903,903,913.8787179,85085.12026,93.62923684,908.7452075
2016-12-27 08:00:00,916.8983,907.6753215,913.8106302,916,81820.48991,89.6311041,912.8582174
2016-12-27 12:00:00,937.0000013,915.665319,916,934.7888889,501900.9333,539.620505,930.0998176
2016-12-27 16:00:00,938,930,934.5501996,933.2500011,243433.7365,260.5037435,934.4730836
2016-12-27 20:00:00,939.98603,926.6511697,934.85,933.9368203,208026.6978,222.7080032,934.0782317
2016-12-28 00:00:00,950.6968603,932.5220022,933.9928951,949.2,179240.6393,189.5400285,945.6611396
2016-12-28 04:00:00,958.95,947,949.32,958.8678404,230662.2876,241.8020245,953.9303407
2016-12-28 08:00:00,970,955.063294,958.1937685,959.5365226,215672.849,224.3110222,961.4901973
2016-12-28 12:00:00,972.45,947.33,959.7499993,948.91,405602.5025,421.9043915,961.3611774
2016-12-28 16:00:00,970.9345079,947.3301,948,969.978997,235629.1884,245.7396697,958.856943
2016-12-28 20:00:00,984.5,963,966.6151029,980.5,431181.3507,442.6124787,974.1735072
2016-12-29 00:00:00,983.5335298,969.99,980.2413514,970.0000013,382286.2286,392.3754025,974.286936
2016-12-29 04:00:00,976.71,962.9884728,971.898258,974,195091.6495,201.1448423,969.9062986
2016-12-29 08:00:00,980,968.7675715,974,977.748315,160636.4235,164.7540339,975.0075291
2016-12-29 12:00:00,979.4,964,977.0000009,964,167546.5472,172.6707615,970.3237873
2016-12-29 16:00:00,970,950.4866206,964,958,306868.0874,320.066989,958.7620652
2016-12-29 20:00:00,977.3140001,958,958,974.751,184606.1519,190.832392,967.3732535
2016-12-30 00:00:00,977,953,971.1000002,953.55,191715.3038,198.439556,966.1143558
2016-12-30 04:00:00,957.5404703,941.237765,953.55,948.1,330105.9162,347.9848923,948.6214016
2016-12-30 08:00:00,950.98,925.4,950.98,945.504,437397.7855,466.856248,936.9003571
2016-12-30 12:00:00,958.608,941.0443238,944.5426677,958.608,320491.0528,337.6446605,949.1962712
2016-12-30 16:00:00,967.9,957.3218657,958.608,963.7479996,129001.7655,134.0456616,962.371807
2016-12-30 20:00:00,963.7479989,948,963.139458,958.9450053,117703.8566,123.3043948,954.5795737
2016-12-31 00:00:00,960.9616304,946,958.9450053,952,105749.3926,111.1746338,951.2007278
2016-12-31 04:00:00,960.01,947.7421936,952.3477379,955.3753431,75876.99978,79.6512844,952.6148932
2016-12-31 08:00:00,960.01,948.510847,955.3753431,951.173388,74420.97757,77.96716765,954.5168795
2016-12-31 12:00:00,962,950,951.173388,958.6678729,63504.21434,66.4593642,955.534485
2016-12-31 16:00:00,967.51,956,956,959,61734.31374,64.08135386,963.3740553
2016-12-31 20:00:00,966.615,956.6759814,960,966.1736838,26851.86835,27.91237429,962.0058856
2017-01-01 00:00:00,968,957.02,965.0000006,960.5431952,66617.4468,69.16734967,963.1342984
2017-01-01 04:00:00,967.9999,960.1922667,960.9776141,967.8,59615.94769,61.8015708,964.6348291
2017-01-01 08:00:00,976.301,962.7200391,967,974.5100081,104792.5857,108.0746082,969.631882
2017-01-01 12:00:00,980,970.7122389,974.5100125,979.1544298,84134.15709,86.093739,977.2389731
2017-01-01 16:00:00,1002,979.1544298,979.1544298,999.7000012,383279.0881,385.3963591,994.5062506
2017-01-01 20:00:00,1008.549993,993.7120809,997.9000187,999.3646398,498429.0362,496.8050092,1003.268943
2017-01-02 00:00:00,1017,997.1148556,999.9221887,1012.999998,207130.8381,206.1889107,1004.568274
2017-01-02 04:00:00,1019.95,1005.365706,1011.704635,1018.926032,127753.7631,126.0164069,1013.786746
2017-01-02 08:00:00,1034.32896,1011,1019,1033.5,229479.2624,224.6992208,1021.273067
2017-01-02 12:00:00,1033.9991,1000,1033.5,1028,459824.8025,450.7760247,1020.073778
2017-01-02 16:00:00,1033.9991,1011.071357,1027.53,1013.66007,350326.4496,342.2994451,1023.450241
2017-01-02 20:00:00,1025,994.0000004,1012.181403,1019.000001,473266.2707,468.6070219,1009.942763
2017-01-03 00:00:00,1030.354559,1018,1019.000001,1027.908458,155339.5667,151.5014527,1025.333843
2017-01-03 04:00:00,1028.999,1015.4,1028.36329,1020.600005,168417.7106,164.8573017,1021.596913
2017-01-03 08:00:00,1025.000005,1010,1022,1020.44,246347.4547,242.2416313,1016.949289
2017-01-03 12:00:00,1025.981265,1012.23593,1020.44,1018.067857,240089.8821,236.0145118,1017.267456
2017-01-03 16:00:00,1025.5,1013,1018,1023.3,201160.0231,197.4387915,1018.847521
2017-01-03 20:00:00,1042.023365,1016.931774,1023,1037.1,355886.5078,345.7175243,1029.414139
2017-01-04 00:00:00,1052.863838,1035.900699,1037.1,1050.568284,224799.7975,215.2641567,1044.297392
2017-01-04 04:00:00,1065,1044.687949,1048.770417,1058.413102,284643.3071,269.3841153,1056.644735
2017-01-04 08:00:00,1086.48,1055,1058.413102,1080,428424.3214,399.5114463,1072.37058
2017-01-04 12:00:00,1095.234213,1057.027709,1080,1085.75,917746.2787,849.3354398,1080.546314
2017-01-04 16:00:00,1136,1083.476189,1085.75,1120,1358055.074,1217.169918,1115.748142
2017-01-04 20:00:00,1148,1089,1120,1136,925840.381,827.5626878,1118.755587
2017-01-05 00:00:00,1140,1097,1134.1,1137.74514,479145.4815,426.6369935,1123.075328
2017-01-05 04:00:00,1159.103,1128,1135.74514,1146.628895,488383.3691,426.0570202,1146.286403
2017-01-05 08:00:00,1148.799997,1035,1146.628895,1088.74885,1775570.841,1634.0989,1086.574895
2017-01-05 12:00:00,1087.241662,882.01,1085.51,995,4591651.946,4729.218207,970.911416
2017-01-05 16:00:00,995,940.338,995,960,1286850.948,1335.317476,963.7041162
2017-01-05 20:00:00,1018.991484,950,958.956,998.8,1003142.551,1016.605788,986.7566785
2017-01-06 00:00:00,1024.88,950,998.8,979.8157599,706223.5872,713.1084255,990.3453136
2017-01-06 04:00:00,985.01,937.913,979.81576,975,577927.775,598.6389813,965.4028439
2017-01-06 08:00:00,975.01,870,974,892.44,1967951.051,2159.873815,911.1416778
2017-01-06 12:00:00,919.9829143,874.148117,890.0000001,914.0100029,1189897.319,1328.289703,895.8115958
2017-01-06 16:00:00,923.0000002,880.9200537,915,890.999998,727664.7729,808.2969088,900.2444089
2017-01-06 20:00:00,903.75895,875.2,886.8860016,896,549073.2375,616.8112007,890.1803937
2017-01-07 00:00:00,898.9683881,825,896,837.7600024,1195683.149,1403.037237,852.2105596
2017-01-07 04:00:00,852,820,837.4000024,838.1,600634.8036,718.7220574,835.6983029
2017-01-07 08:00:00,894.7612798,818.459718,838.4159973,878.87,927863.5731,1079.981482,859.1476696
2017-01-07 12:00:00,898.5859999,860,877.7626334,891,791709.113,896.5114332,883.0998509
2017-01-07 16:00:00,910.8275191,878,891,889,603612.9869,670.2830494,900.5344644
2017-01-07 20:00:00,907.9999,884,889,907.1904792,326574.4248,365.5654457,893.3405186
2017-01-08 00:00:00,922,895.5263783,907,921.9999998,363461.6444,398.884206,911.1958781
2017-01-08 04:00:00,939.659554,917.9119413,921.9999998,931.9999985,623415.2428,670.5816632,929.6634207
2017-01-08 08:00:00,938,910.000001,931.9999989,912,447756.3138,482.485448,928.0203489
2017-01-08 12:00:00,928.965,898.0000014,913.9999999,913.1599986,565738.9525,619.2799442,913.5431525
2017-01-08 16:00:00,918.2286438,891.1,912.75,907.95,427706.5354,472.3100786,905.5630079
2017-01-08 20:00:00,919,901.699996,907.95,916,284266.8892,311.2995052,913.1620335
2017-01-09 00:00:00,916.4183305,880,916.4183297,890,569452.1215,638.0614837,892.4721772
