date,volume,open,high,low,close,quoteVolume,weightedAverage,Average Computing Power
2015/11/8,3371.05063,384.500001,389.35,369,371,8.94422439,376.8969206,4.53E+17
2015/11/9,11796.61678,371.0000667,387.9099995,363,384.55,31.78925921,371.0881309,4.28E+17
2015/11/10,13633.17559,382.5155496,385.6322909,327.7,335.2001491,38.91769851,350.3078576,4.73E+17
2015/11/11,24073.00332,335.2001491,341,303.33311,313.13,75.26690236,319.8351807,5.16E+17
2015/11/12,8966.005562,313.13,343.2918083,308.9960726,339,27.03850585,331.6013692,5.16E+17
2015/11/13,6071.59637,339,343.1063933,325,339.01194,18.08778244,335.6738943,5.26E+17
2015/11/14,3876.891061,336.999999,340.19,332.2,340.19,11.4820363,337.6483892,5.01E+17
2015/11/15,27998.28342,340.19,341.1,318,318,85.79890782,326.3244735,4.85E+17
2015/11/16,3587.000924,318,336.004,318,332,10.82634888,331.3213867,5.66E+17
2015/11/17,5314.080338,334.9999922,340,331,334.010104,15.80354243,336.2588079,5.58E+17
2015/11/18,3288.342491,338.4999893,341.777,334,336.3100122,9.80994979,335.2048238,4.45E+17
2015/11/19,5716.696825,336.3100122,337.8999879,320.1,328.999999,17.2874816,330.6841885,4.93E+17
2015/11/20,5201.18951,332.949999,332.95,318,327.5,16.13166013,322.4212182,5.01E+17
2015/11/21,4224.147695,323.5,335.34,323,328.8,12.86766664,328.2761213,5.55E+17
2015/11/22,3956.725748,325.5000414,334.69,323.1,331.9,11.96320857,330.7411824,5.86E+17
2015/11/23,415.4969109,328.75,334.69,324.0000459,325.47,1.25672713,330.6182392,5.45E+17
2015/11/24,5114.090383,329.99,329.99,321,321,15.77186789,324.253945,5.54E+17
2015/11/25,4363.413083,327.9998999,329,318.1001,326.99,13.33573488,327.1970478,5.66E+17
2015/11/26,12795.5347,328.989999,366.9558609,326.9904756,355.1012722,37.19067652,344.0522169,5.7E+17
2015/11/27,5368.605687,355.1013002,378.888888,349.0000061,361.9999546,14.7870852,363.0604419,5.67E+17
